Mickey,Mouse,123978,mmouse@mines.edu,student
Donald,Duck,444321,dduck@mines.edu,student
Jane,Jetson,999777,jjetson@mines.edu,student
Frodo,Baggins,555123,fbaggins@mines.edu,student
Bilbo,Baggins,988777,bbaggins@mines.edu,student
Winnie,Poohbear,478234,pbear@mines.edu,student
Daffy,Duck,120978,daduck@mines.edu,student
Wile,Coyote,409123,wcoyote@mines.edu,student
Road,Runner,128745,rrunner@mines.edu,student
Marge,Simpson,765120,msimpson@mines.edu,student
Charlie,Brown,876123,cbrown@mines.edu,student
Lucy,VanPelt,333221,lvanpelt@mines.edu,student
Bugs,Bunny,752412,bbunny@mines.edu,student
Betty,Boop,532109,bboop@mines.edu,student
Lois,Griffin,223311,lgriffin@mines.edu,student
Wilma,Flintstone,443322,wflintstone@mines.edu,student
Fred ,Flintstone,443311,fflintstone@mines.edu,student
Peppa,Pig,784512,ppig@mines.edu,student
Turanga,Leela,834215,leela@mines.edu,student
Sylvester,Cat,920451,scat@mines.edu,student
Felix,Cat,375621,fcat@mines.edu,student
Top,Cat,781234,tc@mines.edu,student
Scooby,Doo,392875,scooby@mines.edu,student
Porky,Pig,123654,porky@mines.edu,student
Garfield,Cat,387612,garfield@mines.edu,student
Peter,Pan,982765,pan@mines.edu,student
Foghorn,Leghorn,762341,fleghorn@mines.edu,student
Manning, Peyton,772233,pmanning@mines.edu,student
Green,Virgil,123456,vgreen@mines.edu,student
Thomas,Julias,123457,jthomas@mines.edu,student
Sanders,Emmanuel,123458,esanders@mines.edu,student
Tamme,Jason,123569,jtamme@mines.edu,student
Knighton,Terrance,123450,tk@mines.edu,student
Colquitt,Britton,98765,bcol@mines.edu,student
Roby,Bradley,98764,broby@mines.edu,student
Ward,T.J.,98763,tjward@mines.edu,student
Ware,DeMarcus,98762,dware@mines.edu,student
Webster,Kayvon,98761,kw@mines.edu,student
